source_key	qa_id	sentence
gmp_qa	6df46f4f39dbf9d7	Rapid method is one of the alternative monitoring systems that may expedite the detection of microorganisms pending that the requirements of annex 1 points 9.28, 9.30 and 9.31) are fulfilled.
gmp_qa	0ede2e07706ab12e	In the absence of specific national legislation or guidance, the outer packaging should have only one batch number, as allocated by the parallel trader.
gmp_qa	0ede2e07706ab12e	This batch number allocated by the parallel trader should incorporate two components; (1) the batch number of the original pack and (2) a unique code identifying the repackaging/relabelling run.
gmp_qa	0ede2e07706ab12e	The code for the repackaging run may comprise numbers or letters or a combination of both.
gmp_qa	0ede2e07706ab12e	The parallel trader’s batch number should be such that Component 1 above (originator batch number) is followed by Component 2 (a code related to the repackaging/relabelling run on that batch) .
gmp_qa	0ede2e07706ab12e	Any deviation from this approach should be presented to and should be authorised by the supervisory authority.
gmp_qa	0ede2e07706ab12e	The traceability between the original batch number and the parallel trader’s batch number should be documented in the manufacturer’s repackaging records.
quality_p1	b61111822d1b8efd	For class-2 residual solvents in active substances or medicinal products, it is sufficient to restrict the specification to the concentration limit (parts per million) as defined in the notes for guidance on impurities: residual solvents (CPMP/ICH/283/95 EMEA/CVMP/511/03) and related maintenance guidelines or to calculate it based on the respective permitted daily exposure (mg/day) outlined in the guidelines.
quality_p1	b61111822d1b8efd	It has been agreed by the QWP that there is no need for further tightening of the specification in line with batch results, as the limits in the guideline are based on safety assessment.
quality_p1	ea19de0d91ced298	H+V July 2008 It is the opinion of the Quality Working Party that the requirement in the harmonised chapter 2.9.40 regarding the 2% relative-standard-deviation clause represents minimum requirements.
quality_p1	354ada3c52080db5	Eur.) chapter on uniformity of dosage units (2.9.40) and the general chapters on uniformity of mass of single-dose preparations (2.9.5) and uniformity of content of single-dose preparations (2.9.6) should be applied in the European Union (EU), also in view of the compliance objection made by the United States Food and Drug Administration to the USP on the 2% relative-standard-deviation clause in general chapter 2.9.40.
quality_p1	339844e3735cbddb	Eur. general chapter 2.2.46, compliance with system suitability test (SST) criteria and other conditions described in the chapter ( e.g . selectivity and elution order of any specified impurities should be equivalent) is considered sufficient to show that the updated test procedure is at least equivalent to the former test procedure.
quality_p1	339844e3735cbddb	An SST covering the relevant critical analytical procedure attributes should be described in the dossier.
quality_p1	e688a94bbecfdc1a	The new product has the same formula and manufacturing method of the developed product.
quality_p2	b26122ad4b680145	In line with current regulatory practice, reference to this incompatibility, albeit dietary rather than medicinal, has been included in the product literature to supplement the current pharmacological warning to avoid alcohol.
quality_p2	b26122ad4b680145	In vitro studies investigating the effect of alcohol / ethanol on dissolution / release are recommended for all opioid modified-release products where applicants consider the potential for incompatibility with alcohol exists.
quality_p2	b26122ad4b680145	To minimise the risk, it is recommended that the product design, if possible and practical, should be such that a physicochemical incompatibility with alcohol is avoided.
quality_p2	6d12055bae47c3a6	Such limitations should be introduced only when strictly necessary, due to the possible implications of in-use shelf lives to patients and to the National Health Care Systems.
quality_p2	efb61eb844564e2e	V The guideline on quality aspects of pharmaceutical veterinary medicines for administration via drinking water (EMEA/CVMP/540/03-Rev.1) sets out how the solubility of a product in drinking water should be tested (soft water / low pH with a pH range from 5.0 to 7.0 and hard water / high pH with a pH range from 8.0 to 9.0).
quality_p2	efb61eb844564e2e	In principle, a veterinary medicinal product can only be authorised if it fully dissolves (and remains in solution) without further aid in drinking water of the usual pH range (which is usually a pH range between 5.0 and 9.0).
quality_p2	efb61eb844564e2e	If a pH adjustment of the drinking water is necessary this should be done with excipients (acid, base or buffer) included as part of the authorised veterinary medicinal product.
clinical_pk	2afd2e04db23fc86	Scaling is not a suitable solution to the variability in the in vitro characteristics, i.e. the fine particle dose (FPD) of different batches of the reference product.
clinical_pk	2afd2e04db23fc86	Widening of the acceptance range Widening of the conventional 20% acceptance range based on high variability is only possible for C max according to the CHMP Guideline on the Investigation of Bioequivalence (CPMP/EWP/QWP/1401/98 Rev. 1/Corr) (up to 69.84 – 143.19%) if a replicate design is conducted.
clinical_pk	2afd2e04db23fc86	To support safety, it should be demonstrated that the systemic exposure is not higher for the test product than for the reference product, i.e. the upper limit of the 90% confidence interval should not exceed the upper bioequivalence acceptance limit 125.00.
clinical_pk	2afd2e04db23fc86	Between-batch variability of the reference product and intra-batch variability over time Variability in particle-size distribution between batches of the reference product or within a single batch of a reference product through their storage period can be significant.
clinical_pk	2afd2e04db23fc86	There may even be situations where it may be difficult to demonstrate PK bioequivalence between batches of the same reference product.
clinical_pk	2afd2e04db23fc86	Therefore, before the in vivo comparison, several batches of both test and reference products could be tested to identify representative batches (within ±15% of the corresponding median fine particle dose (or APSD)) of test and reference, respectively.
clinical_pk	2afd2e04db23fc86	In case of fixed combinations this may imply, if pre-specified in the protocol, the use of different batches for each component.
bio_qa	8433b5e80262ffcc	The evaluation of ADCC activity should not be based solely on reporter gene assays.
bio_qa	8433b5e80262ffcc	A “classical” ADCC assay approach using a two cell format, i.e. target cells plus effector cells (such as NK cells or PBMCs), is required for demonstrating biosimilarity of mAbs with ADCC function.
bio_qa	b1c71339932152b9	Where media are sourced from an external supplier and quantitative details of the media components are not available, a qualitative composition of media components needs to be provided.
bio_qa	b1c71339932152b9	A confirmation that an agreement is in place with the supplier to notify the MAH in case of changes to the medium should be included in section 3.2.S.2.3.
bio_qa	b1c71339932152b9	Applicants need to make the proper timely arrangements with their supplier, in order to have this information available at the time of submission of the dossier as the information is a requirement to conclude on the quality and safety of the medicinal product for the CHMP Opinion.
bio_qa	9831f2d651267869	A sample volume of 100 mL is expected for products where the size of the batch allows collection of such 100 mL volume sample.
bio_qa	9831f2d651267869	Where smaller sample volumes are proposed, such as in cases of low batch size, it should be justified that any difference in sensitivity would not adversely impact the probability of detecting microbial contamination in the sample and would be sufficient to guarantee a sterile product.
